file,t,k,s
Benchmarks/Blasted_Real/blasted_case57.cnf, 288, 3, 393
Benchmarks/Blasted_Real/blasted_case121.cnf, 291, 3, 249
Benchmarks/Blasted_Real/blasted_case62.cnf, 291, 3, 393
Benchmarks/V15/s298_15_7.cnf, 275, 3, 62
Benchmarks/Blasted_Real/blasted_case3.cnf, 294, 3, 96
Benchmarks/V3/s420_3_2.cnf, 262, 3, 28
Benchmarks/V3/s420_new1_3_2.cnf, 262, 3, 28
Benchmarks/V3/s420_new_3_2.cnf, 262, 3, 28
Benchmarks/Blasted_Real/blasted_case15.cnf, 296, 3, 164
Benchmarks/Blasted_Real/blasted_case2.cnf, 296, 3, 100
Benchmarks/V3/s510_3_2.cnf, 275, 3, 26
Benchmarks/Blasted_Real/blasted_case126.cnf, 302, 3, 416
Benchmarks/Blasted_Real/blasted_case_1_b14_3.cnf, 304, 3, 165
Benchmarks/Blasted_Real/blasted_case_2_b14_3.cnf, 304, 3, 165
Benchmarks/Blasted_Real/blasted_case_3_b14_3.cnf, 304, 3, 165
Benchmarks/V7/s444_7_4.cnf, 276, 3, 46
Benchmarks/Blasted_Real/blasted_case111.cnf, 306, 3, 390
Benchmarks/Blasted_Real/blasted_case113.cnf, 309, 3, 390
Benchmarks/Blasted_Real/blasted_case117.cnf, 309, 3, 390
Benchmarks/Blasted_Real/blasted_case118.cnf, 309, 3, 390
Benchmarks/V7/s420_7_4.cnf, 282, 3, 31
Benchmarks/V7/s420_new1_7_4.cnf, 282, 3, 31
Benchmarks/V7/s420_new_7_4.cnf, 282, 3, 31
Benchmarks/polynomial.sk_7_25.cnf, 286, 3, 56
Benchmarks/Blasted_Real/blasted_case122.cnf, 314, 3, 473
Benchmarks/V7/s510_7_4.cnf, 295, 3, 31
Benchmarks/Blasted_Real/blasted_case10.cnf, 328, 3, 191
Benchmarks/Blasted_Real/blasted_case6.cnf, 329, 3, 249
Benchmarks/Blasted_Real/blasted_case_0_b11_1.cnf, 340, 3, 153
Benchmarks/Blasted_Real/blasted_case_1_b11_1.cnf, 340, 3, 153
Benchmarks/V15/s510_15_7.cnf, 319, 3, 63
Benchmarks/V15/s382_15_7.cnf, 321, 3, 63
Benchmarks/V15/s420_new_15_7.cnf, 322, 3, 63
Benchmarks/V3/s526_3_2.cnf, 336, 3, 28
Benchmarks/V15/s420_15_7.cnf, 338, 3, 63
Benchmarks/V15/s420_new1_15_7.cnf, 338, 3, 63
Benchmarks/V3/s526a_3_2.cnf, 337, 3, 28
Benchmarks/registerlesSwap.sk_3_10.cnf, 368, 3, 64
Benchmarks/V15/s444_15_7.cnf, 348, 3, 63
Benchmarks/V7/s526_7_4.cnf, 356, 3, 31
Benchmarks/V7/s526a_7_4.cnf, 357, 3, 31
Benchmarks/Blasted_Real/blasted_case19.cnf, 381, 3, 175
Benchmarks/Blasted_Real/blasted_case125.cnf, 393, 3, 564
Benchmarks/Blasted_Real/blasted_case20.cnf, 381, 3, 175
Benchmarks/Blasted_Real/blasted_case35.cnf, 400, 3, 370
Benchmarks/Blasted_Real/blasted_case34.cnf, 409, 3, 469
Benchmarks/Blasted_Real/blasted_case_0_b12_1.cnf, 427, 3, 183
Benchmarks/Blasted_Real/blasted_case143.cnf, 427, 3, 133
Benchmarks/Blasted_Real/blasted_case_1_b12_1.cnf, 427, 3, 183
Benchmarks/Blasted_Real/blasted_case_2_b12_1.cnf, 427, 3, 183
Benchmarks/Blasted_Real/blasted_case114.cnf, 428, 3, 483
Benchmarks/Blasted_Real/blasted_case115.cnf, 428, 3, 483
Benchmarks/Blasted_Real/blasted_case131.cnf, 426, 3, 411
Benchmarks/Blasted_Real/blasted_case116.cnf, 438, 3, 487
Benchmarks/V15/s526_15_7.cnf, 428, 3, 63
Benchmarks/Blasted_Real/blasted_case140.cnf, 488, 3, 137
Benchmarks/V15/s526a_15_7.cnf, 429, 3, 63
Benchmarks/V3/s641_3_2.cnf, 395, 3, 26
Benchmarks/Blasted_Real/blasted_squaring51.cnf, 464, 3, 741
Benchmarks/V7/s641_7_4.cnf, 415, 3, 31
Benchmarks/Blasted_Real/blasted_squaring50.cnf, 468, 3, 741
Benchmarks/V3/s713_3_2.cnf, 415, 3, 26
Benchmarks/V3/s953a_3_2.cnf, 462, 3, 26
Benchmarks/V7/s713_7_4.cnf, 435, 3, 31
Benchmarks/V7/s953a_7_4.cnf, 482, 3, 31
Benchmarks/FMEasy/toybox2.cnf, 116, 4, 70
Benchmarks/FMEasy/toybox.cnf, 116, 4, 70
Benchmarks/V15/s641_15_7.cnf, 487, 3, 63
Benchmarks/Blasted_Real/blasted_case18.cnf, 579, 3, 267
Benchmarks/V15/s713_15_7.cnf, 507, 3, 63
Benchmarks/V3/s820a_3_2.cnf, 575, 3, 98
Benchmarks/V3/s838_3_2.cnf, 534, 3, 44
Benchmarks/V15/s953a_15_7.cnf, 554, 3, 63
Benchmarks/V3/s832a_3_2.cnf, 583, 3, 100
Benchmarks/V7/s820a_7_4.cnf, 595, 3, 98
Benchmarks/V7/s838_7_4.cnf, 554, 3, 44
Benchmarks/Blasted_Real/blasted_case107.cnf, 618, 3, 269
Benchmarks/V7/s832a_7_4.cnf, 603, 3, 100
Benchmarks/Blasted_Real/blasted_case214.cnf, 645, 3, 297
Benchmarks/Blasted_Real/blasted_case130.cnf, 644, 3, 341
Benchmarks/Blasted_Real/blasted_case213.cnf, 648, 3, 297
Benchmarks/FMEasy/axTLS.cnf, 181, 8, 303
Benchmarks/V15/s820a_15_7.cnf, 667, 3, 98
Benchmarks/V15/s838_15_7.cnf, 626, 3, 63
Benchmarks/V3/s1238a_3_2.cnf, 646, 3, 38
Benchmarks/V3/s1196a_3_2.cnf, 649, 3, 34
Benchmarks/V15/s832a_15_7.cnf, 675, 3, 100
Benchmarks/Blasted_Real/blasted_squaring22.cnf, 684, 3, 389
Benchmarks/Blasted_Real/blasted_squaring20.cnf, 685, 3, 386
Benchmarks/Blasted_Real/blasted_squaring24.cnf, 684, 3, 389
Benchmarks/Blasted_Real/blasted_squaring21.cnf, 686, 3, 389
Benchmarks/V7/s1238a_7_4.cnf, 666, 3, 38
Benchmarks/V7/s1196a_7_4.cnf, 669, 3, 34
Benchmarks/Blasted_Real/blasted_squaring23.cnf, 699, 3, 416
Benchmarks/GuidanceService2.sk_2_27.cnf, 114, 8, 75
Benchmarks/Blasted_Real/blasted_case12.cnf, 721, 3, 262
Benchmarks/Blasted_Real/blasted_case144.cnf, 765, 3, 279
Benchmarks/V15/s1238a_15_7.cnf, 738, 3, 63
Benchmarks/V15/s1196a_15_7.cnf, 741, 3, 63
Benchmarks/V3/s1423a_3_2.cnf, 671, 3, 88
Benchmarks/V7/s1423a_7_4.cnf, 691, 3, 88
Benchmarks/Blasted_Real/blasted_case207.cnf, 824, 3, 137
Benchmarks/Blasted_Real/blasted_case_0_b14_1.cnf, 812, 3, 930
Benchmarks/Blasted_Real/blasted_case208.cnf, 824, 3, 137
Benchmarks/Blasted_Real/blasted_case_0_b12_2.cnf, 827, 3, 311
Benchmarks/Blasted_Real/blasted_case_1_b12_2.cnf, 827, 3, 311
Benchmarks/Blasted_Real/blasted_case_2_b12_2.cnf, 827, 3, 311
Benchmarks/Blasted_Real/blasted_squaring27.cnf, 826, 3, 494
Benchmarks/Blasted_Real/blasted_squaring25.cnf, 835, 3, 508
Benchmarks/Blasted_Real/blasted_case138.cnf, 849, 3, 241
Benchmarks/Blasted_Real/blasted_case139.cnf, 846, 3, 245
Benchmarks/Blasted_Real/blasted_case50.cnf, 843, 3, 1120
Benchmarks/V3/s1488_3_2.cnf, 831, 3, 110
Benchmarks/V15/s1423a_15_7.cnf, 763, 3, 88
Benchmarks/Blasted_Real/blasted_case211.cnf, 869, 3, 323
Benchmarks/Blasted_Real/blasted_case210.cnf, 872, 3, 323
Benchmarks/V7/s1488_7_4.cnf, 851, 3, 110
Benchmarks/Blasted_Real/blasted_squaring70.cnf, 864, 3, 451
Benchmarks/Blasted_Real/blasted_squaring2.cnf, 863, 3, 423
Benchmarks/Blasted_Real/blasted_squaring3.cnf, 863, 3, 429
Benchmarks/Blasted_Real/blasted_squaring5.cnf, 863, 3, 429
Benchmarks/Blasted_Real/blasted_squaring6.cnf, 863, 3, 429
Benchmarks/Blasted_Real/blasted_squaring1.cnf, 869, 3, 438
Benchmarks/Blasted_Real/blasted_squaring4.cnf, 869, 3, 435
Benchmarks/Blasted_Real/blasted_squaring26.cnf, 883, 3, 601
Benchmarks/Blasted_Real/blasted_case42.cnf, 903, 3, 347
Benchmarks/V15/s1488_15_7.cnf, 923, 3, 110
Benchmarks/Blasted_Real/blasted_case_2_ptb_1.cnf, 963, 3, 561
Benchmarks/Blasted_Real/blasted_case_1_ptb_1.cnf, 966, 3, 561
Benchmarks/tableBasedAddition.sk_240_1024.cnf, 0, 1, 1
Benchmarks/Blasted_Real/blasted_squaring11.cnf, 944, 3, 469
Benchmarks/GuidanceService.sk_4_27.cnf, 142, 9, 142
Benchmarks/Blasted_Real/blasted_squaring30.cnf, 1020, 3, 535
Benchmarks/Blasted_Real/blasted_squaring28.cnf, 1049, 3, 546
Benchmarks/Blasted_Real/blasted_case37.cnf, 1084, 3, 33
Benchmarks/Blasted_Real/blasted_squaring10.cnf, 1077, 3, 507
Benchmarks/Blasted_Real/blasted_squaring8.cnf, 1079, 3, 507
Benchmarks/FeatureModels/am31_sim.cnf, 245, 5, 431
Benchmarks/Blasted_Real/blasted_squaring29.cnf, 1130, 3, 661
Benchmarks/FeatureModels/sparc_leon.cnf, 247, 5, 431
Benchmarks/FeatureModels/sparc_erc32.cnf, 247, 5, 431
Benchmarks/FeatureModels/sparclite_sim.cnf, 247, 5, 431
Benchmarks/FeatureModels/calm16_ceb.cnf, 245, 5, 431
Benchmarks/FeatureModels/calm32_ceb.cnf, 245, 5, 431
Benchmarks/FeatureModels/tx39_sim.cnf, 247, 5, 431
Benchmarks/FeatureModels/psim.cnf, 247, 5, 431
Benchmarks/FeatureModels/h8300h_sim.cnf, 249, 5, 431
Benchmarks/FeatureModels/h8s_sim.cnf, 249, 5, 431
Benchmarks/FeatureModels/fads.cnf, 249, 5, 431
Benchmarks/FeatureModels/sleb.cnf, 251, 5, 431
Benchmarks/Blasted_Real/blasted_case209.cnf, 1189, 3, 441
Benchmarks/Blasted_Real/blasted_case212.cnf, 1189, 3, 441
Benchmarks/FeatureModels/ceb_v850.cnf, 250, 5, 431
Benchmarks/FeatureModels/stdeval1.cnf, 255, 5, 431
Benchmarks/FeatureModels/jmr3904.cnf, 252, 5, 431
Benchmarks/FeatureModels/edosk2674.cnf, 251, 5, 431
Benchmarks/FeatureModels/h8max.cnf, 256, 5, 431
Benchmarks/FeatureModels/cma28x.cnf, 255, 5, 431
Benchmarks/FeatureModels/cma230.cnf, 127, 9, 742
Benchmarks/FeatureModels/aki3068net.cnf, 257, 5, 431
Benchmarks/FeatureModels/atlas_mips64_5kc.cnf, 254, 5, 431
Benchmarks/FeatureModels/aeb.cnf, 130, 9, 743
Benchmarks/FeatureModels/atlas_mips32_4kc.cnf, 255, 5, 431
Benchmarks/FeatureModels/gps4020.cnf, 127, 9, 742
Benchmarks/FeatureModels/mpc50.cnf, 128, 9, 742
Benchmarks/FeatureModels/skmb91302.cnf, 250, 5, 431
Benchmarks/FeatureModels/ref4955.cnf, 257, 5, 431
Benchmarks/FeatureModels/sa1100mm.cnf, 128, 9, 742
Benchmarks/FeatureModels/snds.cnf, 129, 9, 742
Benchmarks/FeatureModels/brutus.cnf, 128, 9, 742
Benchmarks/FeatureModels/prpmc1100.cnf, 129, 9, 742
Benchmarks/FeatureModels/asb.cnf, 250, 5, 431
Benchmarks/FeatureModels/linux.cnf, 263, 5, 431
Benchmarks/FeatureModels/mb93093.cnf, 252, 5, 431
Benchmarks/FeatureModels/pid.cnf, 128, 9, 742
Benchmarks/FeatureModels/malta_mips32_4kc.cnf, 268, 5, 431
Benchmarks/FeatureModels/malta_mips64_5kc.cnf, 268, 5, 431
Benchmarks/FeatureModels/csb281.cnf, 258, 5, 431
Benchmarks/FeatureModels/eb42.cnf, 130, 9, 742
Benchmarks/FeatureModels/mac7100evb.cnf, 133, 9, 742
Benchmarks/FeatureModels/mace1.cnf, 133, 9, 742
Benchmarks/FeatureModels/frv400.cnf, 253, 5, 431
Benchmarks/FeatureModels/eb40.cnf, 134, 9, 742
Benchmarks/FeatureModels/ts6.cnf, 271, 5, 431
Benchmarks/FeatureModels/vads.cnf, 271, 5, 431
Benchmarks/FeatureModels/eb40a.cnf, 134, 9, 742
Benchmarks/FeatureModels/grg.cnf, 131, 9, 742
Benchmarks/FeatureModels/jtst.cnf, 134, 9, 742
Benchmarks/FeatureModels/asb2305.cnf, 252, 5, 431
Benchmarks/FMEasy/ecos-icse11.cnf, 261, 5, 431
Benchmarks/FeatureModels/ebsa285.cnf, 134, 9, 742
Benchmarks/FeatureModels/edb7xxx.cnf, 130, 9, 742
Benchmarks/FeatureModels/ixdp425.cnf, 131, 9, 742
Benchmarks/FeatureModels/vrc4373.cnf, 257, 5, 431
Benchmarks/FeatureModels/pati.cnf, 274, 5, 431
Benchmarks/FeatureModels/picasso.cnf, 131, 9, 742
Benchmarks/Blasted_Real/blasted_TR_device_1_linear.cnf, 1249, 3, 455
Benchmarks/FeatureModels/lpcmt.cnf, 135, 9, 742
Benchmarks/FeatureModels/mcb2100.cnf, 135, 9, 742
Benchmarks/FeatureModels/p2106.cnf, 135, 9, 742
Benchmarks/FeatureModels/uE250.cnf, 131, 9, 742
Benchmarks/FeatureModels/excalibur_arm9.cnf, 147, 9, 46660
Benchmarks/FeatureModels/dreamcast.cnf, 263, 5, 431
Benchmarks/FeatureModels/mb93091.cnf, 258, 5, 431
Benchmarks/FeatureModels/stb.cnf, 259, 5, 431
Benchmarks/FeatureModels/pc_vmWare.cnf, 264, 5, 431
Benchmarks/FeatureModels/cq7708.cnf, 191, 7, 46660
Benchmarks/FeatureModels/iq80321.cnf, 131, 9, 742
Benchmarks/FeatureModels/pc_rltk8139.cnf, 266, 5, 431
Benchmarks/FeatureModels/ipaq.cnf, 134, 9, 742
Benchmarks/FeatureModels/iq80310.cnf, 130, 9, 742
Benchmarks/FeatureModels/npwr.cnf, 130, 9, 742
Benchmarks/FeatureModels/sh4_202_md.cnf, 266, 5, 431
Benchmarks/FeatureModels/vrc4375.cnf, 260, 5, 431
Benchmarks/FeatureModels/integrator_arm7.cnf, 143, 9, 742
Benchmarks/FeatureModels/pc_i82544.cnf, 265, 5, 431
Benchmarks/FeatureModels/pc_i82559.cnf, 265, 5, 431
Benchmarks/FeatureModels/XSEngine.cnf, 131, 9, 742
Benchmarks/FeatureModels/olpch2294.cnf, 136, 9, 742
Benchmarks/FeatureModels/refidt334.cnf, 260, 5, 431
Benchmarks/FeatureModels/flexanet.cnf, 136, 9, 742
Benchmarks/FeatureModels/aim711.cnf, 133, 9, 742
Benchmarks/FeatureModels/nano.cnf, 135, 9, 742
Benchmarks/FeatureModels/assabet.cnf, 135, 9, 742
Benchmarks/FeatureModels/cme555.cnf, 262, 5, 431
Benchmarks/FeatureModels/e7t.cnf, 130, 9, 742
Benchmarks/FeatureModels/sh7708.cnf, 197, 7, 46660
Benchmarks/FeatureModels/ocelot.cnf, 258, 5, 431
Benchmarks/FeatureModels/cq7750.cnf, 262, 5, 431
Benchmarks/FeatureModels/innovator.cnf, 138, 9, 46660
Benchmarks/FeatureModels/ec555.cnf, 262, 5, 431
Benchmarks/FeatureModels/stm3210e_eval.cnf, 272, 5, 431
Benchmarks/FeatureModels/adder.cnf, 264, 5, 431
Benchmarks/FeatureModels/eb55.cnf, 137, 9, 742
Benchmarks/FeatureModels/olpcl2294.cnf, 137, 9, 742
Benchmarks/FeatureModels/olpce2294.cnf, 137, 9, 742
Benchmarks/FeatureModels/adderII.cnf, 264, 5, 431
Benchmarks/FeatureModels/phycore.cnf, 135, 9, 742
Benchmarks/FeatureModels/moab.cnf, 272, 5, 431
Benchmarks/FeatureModels/cerf.cnf, 137, 9, 742
Benchmarks/FeatureModels/pc_usb_d12.cnf, 221, 6, 431
Benchmarks/Blasted_Real/blasted_TR_b14_1_linear.cnf, 1287, 3, 505
Benchmarks/FeatureModels/cerfpda.cnf, 137, 9, 742
Benchmarks/FeatureModels/smdk2410.cnf, 137, 9, 46660
Benchmarks/FeatureModels/se7751.cnf, 269, 5, 431
Benchmarks/FeatureModels/mbx.cnf, 265, 5, 431
Benchmarks/FeatureModels/at91sam7sek.cnf, 139, 9, 742
Benchmarks/FeatureModels/ts1000.cnf, 264, 5, 431
Benchmarks/FeatureModels/viper.cnf, 264, 5, 431
Benchmarks/Blasted_Real/blasted_case_1_b14_even.cnf, 1304, 3, 647
Benchmarks/Blasted_Real/blasted_case_2_b14_even.cnf, 1304, 3, 647
Benchmarks/FeatureModels/integrator_arm9.cnf, 151, 9, 46660
Benchmarks/Blasted_Real/blasted_case3_b14_even3.cnf, 1304, 3, 647
Benchmarks/FeatureModels/rattler.cnf, 266, 5, 431
Benchmarks/FeatureModels/at91sam7xek.cnf, 142, 9, 742
Benchmarks/Blasted_Real/blasted_case1_b14_even3.cnf, 1318, 3, 647
Benchmarks/FeatureModels/m5272c3.cnf, 273, 5, 431
Benchmarks/FeatureModels/sam7ex256.cnf, 144, 9, 742
Benchmarks/FeatureModels/phycore229x.cnf, 146, 9, 742
Benchmarks/FeatureModels/aaed2000.cnf, 139, 9, 46660
Benchmarks/IssueServiceImpl.sk_8_30.cnf, 171, 11, 110
Benchmarks/FeatureModels/ea2468.cnf, 154, 9, 742
Benchmarks/Blasted_Real/blasted_squaring9.cnf, 1428, 3, 794
Benchmarks/Blasted_Real/blasted_squaring14.cnf, 1452, 3, 744
Benchmarks/10.sk_1_46.cnf, 168, 5, 59
Benchmarks/FeatureModels/hs7729pci.cnf, 199, 7, 46660
Benchmarks/Blasted_Real/blasted_case_0_ptb_1.cnf, 1507, 3, 705
Benchmarks/Blasted_Real/blasted_squaring12.cnf, 1501, 3, 805
Benchmarks/27.sk_3_32.cnf, 249, 5, 93
Benchmarks/UserServiceImpl.sk_8_32.cnf, 187, 11, 91
Benchmarks/Blasted_Real/blasted_case49.cnf, 1510, 3, 2419
Benchmarks/Blasted_Real/blasted_case_1_4_b14_even.cnf, 1532, 3, 759
Benchmarks/Blasted_Real/blasted_case_3_4_b14_even.cnf, 1532, 3, 759
Benchmarks/FeatureModels/se77x9.cnf, 197, 7, 46660
Benchmarks/Blasted_Real/blasted_TR_b14_2_linear.cnf, 1570, 3, 713
Benchmarks/Blasted_Real/blasted_squaring16.cnf, 1621, 3, 1049
Benchmarks/Blasted_Real/blasted_squaring7.cnf, 1622, 3, 798
Benchmarks/FMEasy/fiasco.cnf, 79, 27, 198
Benchmarks/PhaseService.sk_14_27.cnf, 163, 13, 185
Benchmarks/FMEasy/uClinux.cnf, 925, 2, 4
Benchmarks/ActivityService.sk_11_27.cnf, 192, 13, 97
Benchmarks/IterationService.sk_12_27.cnf, 211, 13, 168
Benchmarks/Blasted_Real/blasted_TR_b12_1_linear.cnf, 1914, 3, 579
Benchmarks/Blasted_Real/blasted_TR_b14_3_linear.cnf, 1942, 3, 749
Benchmarks/111.sk_2_36.cnf, 436, 6, 249
Benchmarks/ActivityService2.sk_10_27.cnf, 224, 12, 182
Benchmarks/Blasted_Real/blasted_TR_ptb_1_linear.cnf, 1969, 3, 1003
Benchmarks/Blasted_Real/blasted_TR_device_1_even_linear.cnf, 2415, 3, 1269
Benchmarks/Blasted_Real/blasted_TR_b12_2_linear.cnf, 2426, 3, 737
Benchmarks/Blasted_Real/blasted_case142.cnf, 2457, 3, 496
Benchmarks/ConcreteActivityService.sk_13_28.cnf, 244, 14, 239
Benchmarks/Blasted_Real/blasted_case_0_b12_even2.cnf, 2669, 3, 591
Benchmarks/53.sk_4_32.cnf, 292, 12, 340
Benchmarks/Blasted_Real/blasted_case_1_b12_even2.cnf, 2669, 3, 591
Benchmarks/Blasted_Real/blasted_case_2_b12_even2.cnf, 2669, 3, 591
Benchmarks/Blasted_Real/blasted_case_0_b12_even1.cnf, 2681, 3, 591
Benchmarks/Blasted_Real/blasted_case_1_b12_even1.cnf, 2681, 3, 591
Benchmarks/Blasted_Real/blasted_case_2_b12_even1.cnf, 2681, 3, 591
Benchmarks/Blasted_Real/blasted_case_2_ptb_2.cnf, 2848, 3, 1235
Benchmarks/Blasted_Real/blasted_case_1_ptb_2.cnf, 2851, 3, 1235
Benchmarks/55.sk_3_46.cnf, 1170, 6, 259
Benchmarks/ProjectService3.sk_12_55.cnf, 399, 11, 247
Benchmarks/Blasted_Real/blasted_case_0_ptb_2.cnf, 3391, 3, 1375
